date;currency;digital_code;letter_code;rate
2021-10-21;Молдавский лей;498;MDL;4.08682
2021-10-21;Новый туркменский манат;934;TMT;20.3306
2021-10-21;Южноафриканский рэнд;710;ZAR;4.90234
2021-10-21;Японская иена;392;JPY;0.621196
2021-10-22;Австралийский доллар;036;AUD;53.1292
2021-10-22;Азербайджанский манат;944;AZN;41.7836
2021-10-22;Армянский драм;051;AMD;0.14864
2021-10-22;Белорусский рубль;933;BYN;29.1685
2021-10-22;Болгарский лев;975;BGN;42.2336
2021-10-22;Бразильский реал;986;BRL;12.6814
2021-10-22;Венгерский форинт;348;HUF;0.22706
2021-10-22;Вон Республики Корея;410;KRW;0.0603052
2021-10-22;Гонконгский доллар;344;HKD;9.12942
2021-10-22;Датская крона;208;DKK;11.1014
2021-10-22;Доллар США;840;USD;70.9904
2021-10-22;Евро;978;EUR;82.6399
2021-10-22;Индийская рупия;356;INR;0.948246
2021-10-23;Фунт стерлингов Соединенного королевства;826;GBP;97.6482
2021-10-23;Чешская крона;203;CZK;3.21517
2021-10-23;Шведская крона;752;SEK;8.26604
2021-10-23;Швейцарский франк;756;CHF;77.2931
2021-10-23;Южноафриканский рэнд;710;ZAR;4.84824
2021-10-23;Японская иена;392;JPY;0.621954
2021-10-24;Австралийский доллар;036;AUD;53.1396
2021-10-24;Азербайджанский манат;944;AZN;41.7082
2021-10-24;Армянский драм;051;AMD;0.148372
2021-10-24;Гонконгский доллар;344;HKD;9.11365
2021-10-24;Датская крона;208;DKK;11.0875
2021-10-24;Доллар США;840;USD;70.8623
2021-10-24;Евро;978;EUR;82.4979
2021-10-24;Индийская рупия;356;INR;0.948333
2021-10-24;Казахстанский тенге;398;KZT;0.166363
2021-10-24;Канадский доллар;124;CAD;57.4435
2021-10-24;Киргизский сом;417;KGS;0.835372
2021-10-25;Венгерский форинт;348;HUF;0.226966
2021-10-25;Вон Республики Корея;410;KRW;0.060314
2021-10-25;Гонконгский доллар;344;HKD;9.11365
2021-10-25;Датская крона;208;DKK;11.0875
2021-10-25;Доллар США;840;USD;70.8623
2021-10-25;Евро;978;EUR;82.4979
